player_id,player_name,player_state,summed_minutes_played,form,fdr,pts_irf,opp,player_position,player_cost,gwk_34_pts
32,Alexander-Arnold,75,337.0,5.60,4,2.00,"MUN ",DEF,7.6,0
33,Lacazette,75,337.0,5.60,2,2.00,"NEW ",FWD,8.4,0
34,Barnes,0,0.0,0.00,2,9.00,"SOU ",MID,6.6,0
35,Maddison,100,158.0,1.20,2,9.00,"SOU ",MID,7.3,2
36,Schmeichel,100,450.0,3.20,2,8.00,"SOU ",GKP,5.4,2
37,Johnstone,100,450.0,6.20,2,0.00,"WOL ",GKP,4.5,7
38,Neto,0,211.0,1.60,2,2.00,"WBA ",MID,5.6,0
39,Cancelo,100,244.0,2.80,3,1.00,"CRY ",DEF,5.9,6
40,Maguire,100,450.0,3.60,4,7.00,"LIV ",DEF,5.5,0
41,Patrício,100,450.0,4.20,2,1.00,"WBA ",GKP,5.3,2
42,Stones,0,313.0,2.80,3,21.00,"CRY ",DEF,5.1,0
43,Shaw,100,450.0,4.40,4,8.00,"LIV ",DEF,5.4,0
44,Targett,100,450.0,0.80,3,1.90,"EVE ",DEF,5.0,2
45,Wood,100,450.0,9.00,4,2.00,"WHU ",FWD,6.3,6
46,Mendy,100,360.0,3.20,2,6.00,"FUL ",GKP,5.2,7
47,Zaha,100,405.0,3.60,4,0.00,"MCI ",MID,7.1,2
48,Tielemans,100,450.0,2.40,2,12.00,"SOU ",MID,6.4,2
49,Wilson,100,89.0,0.60,3,2.00,"ARS ",FWD,6.5,2
50,Dunk,100,450.0,4.60,3,8.00,"LEE ",DEF,4.9,8
51,Chilwell,100,270.0,4.00,2,6.00,"FUL ",DEF,5.8,6
52,Foden,100,128.0,2.40,3,1.00,"CRY ",MID,6.0,0
53,Fabianski,100,450.0,2.00,2,6.00,"BUR ",GKP,5.0,2
54,Mings,100,450.0,1.40,3,2.20,"EVE ",DEF,5.4,2
55,Trossard,100,370.0,4.40,3,3.00,"LEE ",MID,5.7,3
56,Areola,100,450.0,1.60,4,3.00,"CHE ",GKP,4.6,2
57,Raphinha,0,270.0,3.20,4,0.00,"LEI ",MID,5.4,0
58,Ings,0,239.0,4.00,4,0.00,"LEI ",FWD,8.4,0
59,Werner,100,220.0,2.40,2,1.00,"FUL ",FWD,9.2,5
60,Guaita,100,450.0,3.00,4,0.00,"MCI ",GKP,4.8,1
61,Adams,100,329.0,4.40,2,3.20,"AVL ",FWD,5.8,2
62,Leno,100,329.0,4.40,2,2.00,"NEW ",GKP,5.0,0
63,Sigurdsson,100,329.0,4.40,2,3.20,"AVL ",MID,6.9,2
64,Firmino,100,331.0,1.40,4,2.00,"MUN ",FWD,9.0,0
65,Aubameyang,100,156.0,0.80,2,15.00,"NEW ",MID,11.3,12
66,Keane,75,360.0,1.80,2,1.90,"AVL ",DEF,5.1,0
67,Azpilicueta,100,355.0,2.80,2,5.00,"FUL ",DEF,5.9,0
68,Richarlison,100,448.0,2.60,2,2.30,"AVL ",FWD,7.8,2
69,Coufal,100,450.0,2.80,2,6.00,"BUR ",DEF,4.7,7
70,Konsa,100,450.0,1.00,3,2.00,"EVE ",DEF,4.7,2
71,Maupay,100,372.0,3.00,3,9.00,"LEE ",FWD,6.0,2
72,Alisson,100,450.0,4.80,4,10.00,"MUN ",GKP,5.9,0
73,Saka,100,321.0,1.80,2,9.00,"NEW ",MID,5.1,0
74,McNeil,100,450.0,5.40,4,1.00,"WHU ",MID,5.7,2
75,McGinn,100,450.0,3.40,3,3.20,"EVE ",MID,5.5,2
76,Traoré,100,380.0,2.40,3,2.70,"EVE ",MID,5.8,5
77,Jorginho,100,401.0,2.60,2,3.00,"FUL ",MID,4.7,0
78,Aina,100,424.0,2.20,4,2.00,"CHE ",DEF,4.4,0
79,Justin,0,0.0,0.00,2,8.00,"SOU ",DEF,4.8,0
80,Rodríguez,100,343.0,4.60,2,3.30,"AVL ",MID,7.7,0
81,Jesus,100,384.0,4.00,3,2.00,"CRY ",FWD,9.2,2
82,Zouma,100,270.0,2.60,2,0.00,"FUL ",DEF,5.3,5
83,James,100,220.0,2.60,2,0.00,"FUL ",DEF,5.0,6
84,Lookman,100,294.0,2.20,4,1.00,"CHE ",MID,4.8,2
85,Evans,100,450.0,5.60,2,7.00,"SOU ",DEF,5.6,10
86,Coady,100,450.0,3.20,2,1.00,"WBA ",DEF,5.0,2
87,Lindelöf,100,450.0,4.00,2,0.00,"BUR ",DEF,4.8,0
88,Fornals,100,325.0,2.60,2,8.00,"BUR ",MID,5.8,2
89,Eze,100,356.0,2.60,4,2.00,"MCI ",MID,5.8,2
90,Armstrong,100,434.0,3.60,4,2.00,"LEI ",MID,5.5,5
91,Tarkowski,100,382.0,3.60,2,9.00,"SHU ",DEF,5.3,1
92,Ramsdale,100,382.0,3.60,4,3.80,"TOT ",GKP,4.6,2
93,Ndombele,100,382.0,3.60,2,9.00,"SHU ",MID,5.9,0
94,Neves,100,323.0,1.40,2,1.00,"WBA ",MID,5.1,2
95,Mee,100,450.0,2.20,4,2.00,"WHU ",DEF,4.8,0
96,Westwood,100,450.0,3.80,4,2.00,"WHU ",MID,5.3,2
97,Saïss,100,450.0,3.20,2,1.00,"WBA ",DEF,5.0,2
98,Adarabioyo,100,360.0,1.00,4,2.00,"CHE ",DEF,4.5,1
99,White,100,360.0,3.60,3,6.00,"LEE ",DEF,4.5,6
100,Groß,100,426.0,3.00,3,3.00,"LEE ",MID,5.8,8
